date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:04:23	1354/1354	---MCZ	404	error ('Not%20Found')	text/html	etag:1733908130-ssl-df	https://ova-investment.com/robots.txt		(from )
16:04:24	33035/33035	---M-Z	200	added ('OK')	text/html	etag:%226d542365a2c0697b80d73e51ddfa6f12-ssl-df%22	https://ova-investment.com/	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/index.html	(from )
16:04:24	4607/4607	---M--	200	added ('OK')	image/png	etag:%2261622534db0db111edb9d951fcf83bcd-ssl%22	https://ova-investment.com/assets/images/favicon/favicon-96x96.png	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/favicon/favicon-96x96.png	(from https://ova-investment.com/)
16:04:26	58891/58891	---MCZ	200	added ('OK')	image/svg+xml	etag:%22f25dc56e398a4b8aaff3f79ead7e6188-ssl-df%22	https://ova-investment.com/assets/images/favicon/favicon.svg	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/favicon/favicon.svg	(from https://ova-investment.com/)
16:04:27	15086/15086	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:%22a7f9fe134ae95a13b8a8f6f8e6ada4e5-ssl-df%22	https://ova-investment.com/assets/images/favicon/favicon.ico	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/favicon/favicon.ico	(from https://ova-investment.com/)
16:04:28	11035/11035	---M--	200	added ('OK')	image/png	etag:%227f0204c1191ea3d3be3ddf260f8857b3-ssl%22	https://ova-investment.com/assets/images/favicon/apple-touch-icon.png	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/favicon/apple-touch-icon.png	(from https://ova-investment.com/)
16:04:28	427/427	---M--	200	added ('OK')	application/octet-stream	etag:%2286050bd536b2d45eeec91a8d7f0a6b67-ssl%22	https://ova-investment.com/assets/images/favicon/site.webmanifest	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/favicon/site.webmanifest	(from https://ova-investment.com/)
16:04:30	44399/44399	---M--	200	added ('OK')	image/jpeg	etag:%22d55a492b1dbd380140b6cf6c2ac1986b-ssl%22	https://ova-investment.com/assets/images/share.jpg	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/share.jpg	(from https://ova-investment.com/)
16:04:31	37484/37484	---MCZ	200	added ('OK')	text/css	etag:%226718776c6c41af58c709ff409b4ee4f1-ssl-df%22	https://ova-investment.com/assets/styles/main.css	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/styles/main.css	(from https://ova-investment.com/)
16:04:31	1468/1468	---M--	200	added ('OK')	image/avif	etag:%2227c74b3d1002bcf400e3bae9b2aae3d5-ssl%22	https://ova-investment.com/assets/images/logo-menu.avif	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/logo-menu.avif	(from https://ova-investment.com/)
16:04:32	821/821	---M--	200	added ('OK')	image/avif	etag:%2267daf7422358883ba0d6c501f1040f83-ssl%22	https://ova-investment.com/assets/images/logo-menu-small.avif	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/logo-menu-small.avif	(from https://ova-investment.com/)
16:04:34	1768/1768	---M--	200	added ('OK')	image/avif	etag:%2221c67b82f1fb9dd0068e9fe3f89dc552-ssl%22	https://ova-investment.com/assets/images/menu-home.avif	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/menu-home.avif	(from https://ova-investment.com/)
16:04:35	41497/41497	---M--	200	added ('OK')	image/avif	etag:%220afe94a775d35172f81cc0c9f519bceb-ssl%22	https://ova-investment.com/assets/images/menu-portfolio.avif	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/menu-portfolio.avif	(from https://ova-investment.com/)
16:04:36	13518/13518	---M--	200	added ('OK')	image/avif	etag:%22cab6c3c3064603356c2879943f5d9e45-ssl%22	https://ova-investment.com/assets/images/menu-manifesto.avif	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/menu-manifesto.avif	(from https://ova-investment.com/)
16:04:36	1828/1828	---M--	200	added ('OK')	image/avif	etag:%22e5ba38c5ed2ca9a920f616c59e25690b-ssl%22	https://ova-investment.com/assets/images/menu-about.avif	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/menu-about.avif	(from https://ova-investment.com/)
16:04:37	12763/12763	---M--	200	added ('OK')	image/avif	etag:%22fa2a089bd0d1fa8c46afa582209a0749-ssl%22	https://ova-investment.com/assets/images/menu-contact.avif	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/menu-contact.avif	(from https://ova-investment.com/)
16:04:38	7666/7666	---M--	200	added ('OK')	image/avif	etag:%22f57b00dc8fc519ef278588c853792894-ssl%22	https://ova-investment.com/assets/images/logo-ova.avif	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/logo-ova.avif	(from https://ova-investment.com/)
16:04:40	239678/239678	---M--	200	added ('OK')	image/avif	etag:%22676d8aecdef7cdbceaa731e2acb1239b-ssl%22	https://ova-investment.com/assets/images/hero-1.avif	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/hero-1.avif	(from https://ova-investment.com/)
16:04:41	391106/391106	---M--	200	added ('OK')	image/avif	etag:%2259d60e44957fa465d02130fc880c5485-ssl%22	https://ova-investment.com/assets/images/hero-2.avif	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/hero-2.avif	(from https://ova-investment.com/)
16:04:42	311950/311950	---M--	200	added ('OK')	image/avif	etag:%2206f6436de203ae2c0aab8f039a172bd0-ssl%22	https://ova-investment.com/assets/images/portfolio-tech.avif	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/portfolio-tech.avif	(from https://ova-investment.com/)
16:04:43	115710/115710	---M--	200	added ('OK')	image/avif	etag:%224ec8688e65792361ca84ee9d85567fdc-ssl%22	https://ova-investment.com/assets/images/portfolio-immo.avif	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/portfolio-immo.avif	(from https://ova-investment.com/)
16:04:44	46126/46126	---M--	200	added ('OK')	image/avif	etag:%220beb78b1c4a84b665010e03347ee077a-ssl%22	https://ova-investment.com/assets/images/portfolio-sante.avif	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/portfolio-sante.avif	(from https://ova-investment.com/)
16:04:45	63063/63063	---M--	200	added ('OK')	image/avif	etag:%2246aba6122df1a1ae66cda0baf34863b8-ssl%22	https://ova-investment.com/assets/images/portfolio-tourisme.avif	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/portfolio-tourisme.avif	(from https://ova-investment.com/)
16:04:46	49278/49278	---M--	200	added ('OK')	image/avif	etag:%2254b27338a062eb2c9742dfd6fcc832c5-ssl%22	https://ova-investment.com/assets/images/portfolio-finance.avif	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/portfolio-finance.avif	(from https://ova-investment.com/)
16:04:47	37328/37328	---M--	200	added ('OK')	image/avif	etag:%22a205377fccfa235dc300639623d1caa5-ssl%22	https://ova-investment.com/assets/images/portfolio-pub.avif	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/portfolio-pub.avif	(from https://ova-investment.com/)
16:04:48	59083/59083	---M--	200	added ('OK')	image/avif	etag:%22d061f6569c8c2896416f2a75e45ce233-ssl%22	https://ova-investment.com/assets/images/portfolio-energie.avif	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/portfolio-energie.avif	(from https://ova-investment.com/)
16:04:49	115859/115859	---M--	200	added ('OK')	image/avif	etag:%22277d910a3242b2aa0b68f9fd4dae59e8-ssl%22	https://ova-investment.com/assets/images/portfolio-divertissement.avif	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/portfolio-divertissement.avif	(from https://ova-investment.com/)
16:04:50	1259034/1259034	---M--	200	added ('OK')	image/avif	etag:%224646aa8cb505209d307d68f79361fdcc-ssl%22	https://ova-investment.com/assets/images/manifesto.avif	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/manifesto.avif	(from https://ova-investment.com/)
16:04:50	21623/21623	---M--	200	added ('OK')	image/avif	etag:%22b698130c2baf598e39921da1a410fb8f-ssl%22	https://ova-investment.com/assets/images/about-1.avif	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/about-1.avif	(from https://ova-investment.com/)
16:04:52	74931/74931	---M--	200	added ('OK')	image/avif	etag:%22bf300c516d146b0219f9ffec3615fa3f-ssl%22	https://ova-investment.com/assets/images/about-2.avif	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/about-2.avif	(from https://ova-investment.com/)
16:04:53	500792/500792	---M--	200	added ('OK')	image/avif	etag:%220d872bbcef34795ca18aeab672193eb3-ssl%22	https://ova-investment.com/assets/images/contact.avif	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/images/contact.avif	(from https://ova-investment.com/)
16:04:54	463029/463029	---MCZ	200	added ('OK')	application/javascript	etag:%22a0f9f1a9e7867d52ae16728000734def-ssl-df%22	https://ova-investment.com/assets/scripts/app.js	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/scripts/app.js	(from https://ova-investment.com/)
16:04:55	23520/23520	---M--	200	added ('OK')	font/woff2	etag:%22abbd720d40202e6d9b7bebdd55e9ac0e-ssl%22	https://ova-investment.com/assets/fonts/NeueMontreal-Light.woff2	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/fonts/NeueMontreal-Light.woff2	(from https://ova-investment.com/assets/styles/main.css)
16:04:56	30416/30416	---MCZ	200	added ('OK')	application/font-woff	etag:%2271a3a04b3cf19eb1f864c9f75844601b-ssl-df%22	https://ova-investment.com/assets/fonts/NeueMontreal-Light.woff	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/fonts/NeueMontreal-Light.woff	(from https://ova-investment.com/assets/styles/main.css)
16:04:57	23388/23388	---M--	200	added ('OK')	font/woff2	etag:%222179ba615afe0ae8123b760e66745c9d-ssl%22	https://ova-investment.com/assets/fonts/NeueMontreal-Regular.woff2	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/fonts/NeueMontreal-Regular.woff2	(from https://ova-investment.com/assets/styles/main.css)
16:04:58	30272/30272	---MCZ	200	added ('OK')	application/font-woff	etag:%227eef218ff720959b5443797473fa09b6-ssl-df%22	https://ova-investment.com/assets/fonts/NeueMontreal-Regular.woff	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/fonts/NeueMontreal-Regular.woff	(from https://ova-investment.com/assets/styles/main.css)
16:04:59	25144/25144	---M--	200	added ('OK')	font/woff2	etag:%2250dc76d2bfab4f9e84a831b3cde450a3-ssl%22	https://ova-investment.com/assets/fonts/NeueMontreal-Bold.woff2	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/fonts/NeueMontreal-Bold.woff2	(from https://ova-investment.com/assets/styles/main.css)
16:05:00	32460/32460	---MCZ	200	added ('OK')	application/font-woff	etag:%228a125e743c8c4f02cec105ca31d80596-ssl-df%22	https://ova-investment.com/assets/fonts/NeueMontreal-Bold.woff	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/fonts/NeueMontreal-Bold.woff	(from https://ova-investment.com/assets/styles/main.css)
16:05:01	30672/30672	---M--	200	added ('OK')	font/woff2	etag:%225f3a18aaad5269c87e0df08770fb11ed-ssl%22	https://ova-investment.com/assets/fonts/GeistMono-Regular.woff2	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/fonts/GeistMono-Regular.woff2	(from https://ova-investment.com/assets/styles/main.css)
16:05:02	42192/42192	---MCZ	200	added ('OK')	application/font-woff	etag:%22e76f6806bb46795514724438d7954cac-ssl-df%22	https://ova-investment.com/assets/fonts/GeistMono-Regular.woff	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/fonts/GeistMono-Regular.woff	(from https://ova-investment.com/assets/styles/main.css)
16:05:03	31880/31880	---M--	200	added ('OK')	font/woff2	etag:%22c8ddaabdcba180e8ccf584c2f85fb632-ssl%22	https://ova-investment.com/assets/fonts/GeistMono-Medium.woff2	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/fonts/GeistMono-Medium.woff2	(from https://ova-investment.com/assets/styles/main.css)
16:05:04	43356/43356	---MCZ	200	added ('OK')	application/font-woff	etag:%2281a6a882b2b786fd314513814fc08f38-ssl-df%22	https://ova-investment.com/assets/fonts/GeistMono-Medium.woff	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/fonts/GeistMono-Medium.woff	(from https://ova-investment.com/assets/styles/main.css)
16:05:05	31912/31912	---M--	200	added ('OK')	font/woff2	etag:%22c35a3b7e7b2234a6f37822716226dbd5-ssl%22	https://ova-investment.com/assets/fonts/GeistMono-Bold.woff2	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/fonts/GeistMono-Bold.woff2	(from https://ova-investment.com/assets/styles/main.css)
16:05:06	43496/43496	---MCZ	200	added ('OK')	application/font-woff	etag:%22e97c3e1325334a47b28387f25c1c92d8-ssl-df%22	https://ova-investment.com/assets/fonts/GeistMono-Bold.woff	/Users/vaithianathan/Library/Mobile%20Documents/com~apple~CloudDocs/hydra-corp/ova-investment-clone/ova-investment.com/assets/fonts/GeistMono-Bold.woff	(from https://ova-investment.com/assets/styles/main.css)
